company_num,total_characters,total_links
3,3279,1
10,5594,11
33,4808,6
34,9668,7
49,10199,1
58,8869,7
63,7872,12
66,4851,6
77,3699,3
81,13718,7
82,10047,7
97,10872,5
101,3644,1
102,10789,8
112,1195,6
113,16149,9
121,7373,6
123,18047,41
134,11747,7
146,4060,5
169,4284,7
175,10755,5
187,6853,18
209,3028,3
211,1323,3
217,6487,4
218,1296,5
221,3068,5
233,4092,2
254,18908,17
255,6444,9
261,4385,5
281,10215,2
294,16119,6
299,12869,20
308,9851,5
318,8565,13
322,13263,6
324,10426,8
325,14560,7
344,6841,15
355,14332,9
356,19617,10
372,1131,1
387,12825,11
392,4883,7
414,7721,5
443,3207,5
454,14649,13
455,15570,17
457,13748,14
462,10707,11
474,17134,17
494,5501,6
498,1122,4
500,13809,11
503,5215,9
523,15971,8
531,7667,5
532,17185,14
548,1721,3
549,7328,8
551,1669,3
565,12969,13
567,8278,6
574,16764,22
588,7844,10
590,7351,6
599,7200,5
603,7003,4
604,8928,12
605,11127,8
614,14328,7
623,8996,8
639,19806,18
642,6398,3
652,9104,10
654,5433,9
661,3732,6
664,5344,5
674,18742,13
679,9003,6
694,1350,1
700,2056,3
704,2993,2
711,2636,3
716,12568,10
721,1842,4
726,10336,17
730,2515,3
734,3402,9
741,2571,1
748,16129,11
771,11433,7
781,9941,6
793,2197,4
794,10642,11
797,6346,11
825,1278,3
828,5870,4
829,2412,2
844,14073,6
856,3203,3
857,6482,8
858,1035,3
863,2644,5
872,1765,1
895,5593,3
896,9393,15
900,2077,5
902,1363,3
905,3412,7
916,5163,3
925,2088,4
933,3683,1
944,8554,9
946,12905,5
948,8645,9
952,5219,4
959,12267,8
991,4582,3
992,18575,14
995,1557,3
1008,11410,10
1010,3011,4
1012,1825,2
1020,7098,8
1022,1942,3
1025,10836,8
1027,17941,5
1032,3618,3
1039,3921,3
1041,17526,7
1045,1253,7
1046,5843,9
1047,1780,4
1050,1751,1
1055,2464,6
1087,9753,19
1118,4550,4
1129,5805,4
1142,12146,6
1172,4598,9
1180,4741,3
1181,13200,15
1191,17474,17
1200,18403,9
1201,1405,10
1216,13623,9
1222,5718,3
