company_id,link_num,sent_num,sent_str
3,0,0,"3D Prototyping With 3D printing technology, preliminary designs can be quickly prototyped and assessed for tolerance and size, reducing post-manufacture tool & die set modifications With 3D printing technology, preliminary designs can be quickly prototyped and assessed for tolerance and size, reducing post-manufacture tool & die set modifications Processing All our parts are inspected, weighed, vibro-polished and processed to the highest quality All our parts are inspected, weighed, vibro-polished and processed to the highest quality Finish it with style We offer a range of coating solutions to give your finished product an extra layer of protection and finesse We offer a range of coating solutions to give your finished product an extra layer of protection and finesse Services Design With experience in both plastic injection and metal die-casting industries, our passionate team of designers really love what they do"
3,0,1," Utilizing rapid prototyping through 3D printing technology and state of the art CAD software, our design team help visualize your product, before moving to tooling and finally production"
3,0,2," Tooling Equipped with onsite tool room facilities and CNC machinery, ensures rapid turnaround from design through to production whilst keeping costs low"
3,0,3," Production Our unique and custom built Zinc die-cast machinery produces world class quality parts, whilst boasting speeds incomparable with our competitors within the Australasian market"
3,0,4, Our highly skilled production staff inspect and weigh parts to ensure the highest quality before finishing
3,0,5," Finishing Each product is different and as a result, each product has its own unique finishing requirements"
3,0,6," We strive to ensure that every product is finished to the high standards expected of world class die-casters, including"
3,0,7," secondary production, vibratory finishing and coating"
3,0,8," About Us The journey of Diecasting Solutions started in the back of a North Shore factory in early 2004, when an absence of players in the Australasian die-casting industry inspired David Dale (Director) to set out and convert a plastic molding machine into a Zinc die-casting machine"
3,0,9," Today, their unique die-casting machines prove for faster delivery, allowing them to run up to five dies in each machine at a time and change dies in less than ten minutes, whilst maintaining high quality cast parts"
3,0,10," Incorporating both his design and tool-making background, David brought these services in-house, bridging the gap between client, designer and toolmaker"
3,0,11, This highly effective scenario reduces costs associated with outsourcing tool-making and cuts production time
3,0,12," This one stop shop has worked well for Diecasting Solutions, designing and manufacturing hundreds of products for clients in Europe, Australia and New Zealand"
3,0,13, Contact ustoday to discuss your requirements
3,0,14," Portfolio Components OFFICE FIT-OUT COMPONENTS END CAPS & JOINERS WEATHER RESISTANT MECHANICAL COMPONENTS SIGNAGE BRACKETS INTERLOCKING COMPNENTS NOVELTY & PROMOTIONAL ITEMS BRACKETS CUSTOM BOX KNIVES BRANDING BESPOKE TOOLS CAM LOCKS CLAMPS BRACKETS FENCE STRAINERS IN-HOUSE TOOLING & PROMOTIONAL OVERFLOW Contact 54/1 Ellice RoadGlenfieldAucklandNew Zealand Or PO Box 50,Warkworth 0941,Auckland,New Zealand Tel"
3,0,15, +64 (9) 441 2300Fax
3,0,16, +64 (9) 441 2300  
10,0,0,"Congress Drives, established in 1915, is the leading globalManufacturer of Aluminum and Zinc Die Cast Pulleysand Custom Die Cast Components Die Cast Pulleys are lightweight, non toxic, produced with non-corrosive materials,andused for fractional horsepower motor applications"
10,0,1," They are also spark free, impact resistant and built to last"
10,0,2, All pulleys include set screws and are available with or without a keyway
10,0,3," All of our products are manufactured in Fenton, Missouri at our ISO 9001 certified facility"
10,0,4," Besides our standard products, Congress Drives stands ready to assist you in the design and manufacture of any special pulley, sheave, or other aluminum or zinc die cast products that you may require"
10,0,5, Markets We Serve Include
10,0,6, 
10,1,0,Variable Pitch Pulleys Congress Drives Variable Pitch Pulleys are ideal for applications where speeds must be changed or where you are unable to predetermine the correct speed
10,1,1, [ click to enlarge ] We offer 18 variable pitch pulleys with these features
10,1,2, On-line Catalogwith 3D Models 
10,2,0,"Custom Die Cast Components Today, we serve North American customers in a wide range of industries and provide numerous custom die casting solutions from our facilities located near St"
10,2,1, Louis (Missouri)
10,2,2, We invite your business inquiries and will respond promptly
10,2,3, [ click to enlarge ] Here's our snapshot
10,2,4, Our business markets include
10,2,5, 
10,3,0,Manufacturing Capabilities Congress Drives continues to be a leader in the die casting industry
10,3,1,"Today, we serve customers in a wide range of industries and provide them"
10,3,2," With 30 die casting cells, plus machining and finishing services, we help our customers streamline their production processes while adding extra value"
10,3,3," We also have full capabilities for swift, secure electronic transfer of data, funds and other information"
10,3,4, 
10,4,0,Machining Congress has the machining and finishing services needed to give our customers production ready parts
10,4,1,Production machining capabilities
10,4,2, 
10,5,0,"Quality Congress Drive's commitment to quality begins with its President, and continues with each and every employee"
10,5,1, Our commitment to quality is just one of the many reasons we've received OEM recognition
10,5,2,Our comprehensive quality assurance program starts with product design
10,5,3,"Advanced computer technology enables our engineers to identify the critical factors that will affect production standards, and quality assurance"
10,5,4, On-going analysis controls these variables to ensure the quality of our finished product
10,5,5," Ensures Customer Satisfaction Production doesn't begin until our staff and the customer complete a rigorous ""first part"" approval"
10,5,6," During die casting, we use computerized Statistical Process Control and continuous monitoring to ensure consistent accuracy and integrity of the components"
10,5,7, The emphasis on quality throughout production ensures customer satisfaction
10,5,8,  
10,6,0,"About Congress Drives Congress Drives, in business since 1915, exists today for one purpose - to serve its customers"
10,6,1," Whether it involves our standard products or our custom products we believe the only way to succeed is by listening to our customers, and then doing whatever it takes to satisfy their production requirements"
10,6,2," There are two key elements in achieving customer satisfaction, supplying the actual product and cultivating the working relationship"
10,6,3, Our products are all manufactured to world class standards and our responsive staff stands ready to exceed your expectations at every turn
10,6,4, Call orEmailtoday and give us the opportunity to help you with your die cast pulley or special component needs
10,6,5, Business Philosophy Congress Drive exists for one purpose -- to serve its customers
10,6,6,"We owe our success to listening to our customers, and then doing whatever it takes to satisfy their production requirements"
10,6,7,There are two key elements in achieving customer satisfaction
10,6,8,Supplying the actual product and cultivating the working relationship
10,6,9,"We believe that a total willingness to exceed our customer expectations in quality assurance, competitive pricing and timely delivery is the only way to conduct business in a global marketplace"
10,6,10, Industry Associations & Participation   
10,7,0,Sitemap Home A Groove Pulleys On-line Catalog with 3D Models for A Groove Pulleys catalog Variable Pitch Pulleys On-line Catalog with 3D Models for Variable Pitch Pulleys catalog Step Cone Pulleys On-line Catalog with 3D Models for Step Cone Pulleys catalog Custom Die Cast Components Engineering Manufacturing Capabilities Die Casting Machining Finishing Quality Value-Added Services Catalog Index About Us Contact Us Privacy Policy 
10,8,0,Variable Pitch Pulleys Item # Bore Size OD Keyway CAD 
10,9,0,"Step Cone Pulleys 2 Step, Zinc Die Cast Step-Cone Pulley  3 Step, Zinc Die Cast Step-Cone Pulley  4 Step, Zinc Die Cast Step-Cone Pulley  "
10,10,0,All Categories A Groove Pulleys Our A-Groove Pulleys are specially designed for strength and durability
10,10,1, We offer a wide range of sizes for multiple applications
10,10,2," All pulleys are designed with 1/2"" groove for use with 4L or A Section V-Belts"
10,10,3," 5-1/4"" and larger are Spoke Construction to Reduce Weight"
10,10,4, Variable Pitch Pulleys Variable Pitch Pulleys are ideal for applications where speeds must be changed or where you are unable to predetermine the correct speed
10,10,5," Our pulleys are designed for use with 4L, 5L,  A or B section V-Belts"
10,10,6," 1-1/2"" - 24 Pitch Thread Adjustment allows for downward speed variations up to 30%"
10,10,7, Step Cone Pulleys Step cone pulleys are ideally suited for applications where there is a need to quickly and easily change rotation speed
10,10,8," These pulleys are available in 2-Step, 3-Step & 4-Step styles and designed for use with 4L or A Section V-Belts"
10,10,9, 
33,0,0,1 Single Source ProviderFor A Complete Solution 1 High Speed5 Axis Machining 1 AS 9100 REV DCERTIFIED 1 Quality AerospaceManufacturing 1 State of the ArtEquipment 1 Production to MeetYour Needs Why Pick Us For Your Aerospace Parts Machining What Makes Us Different We are a single source manufacturer to the Aerospace and Defense Industry who provides machine components and fabricated assemblies
33,0,1," New 5 Axis machining equipment that operates at higher speeds, allowing us to make parts and complex products faster Proprietary methods in manufacturing to machine aerospace alloys that are critical for aerospace and defense components We are a supplier who is responsive and flexible to provide the best overall value for our customers"
33,0,2," We create value through excellence in integration capabilities, people, quality and process innovation"
33,0,3," © Copyright© 2017 Direct AeroSystems, Inc"
33,0,4, All Rights Reserved 
33,1,0,About Us Direct Aerosystems provides turnkey and fabricated system solutions to OEM's and companies serving the aerospace industry
33,1,1, With our ongoing investment in state of the art technology and process improvement we are a leading manufacturer to the Aerospace Industry
33,1,2," We are equipped with sophisticated 5-axis machining centers and metal forming equipment that allows us to be proficient in the manufacture of small to large, complex aerospace parts and assemblies"
33,1,3, With in-house Electro-Mechanical fabrication and assembly services provide fully integrated and tested systems ready to be installed on your aircraft
33,1,4," Our services include instrument panel, electrical box, rack and cabinet assemblies paired with harnessing programs for your individual systems"
33,1,5, Our goal is to reduce supply chain complexity and lead-times for our customers by being a single source manufacturer
33,1,6, Operation Specifics
33,1,7,"  Facility / Capacity List © Copyright© 2017 Direct AeroSystems, Inc"
33,1,8, All Rights Reserved 
33,2,0,"Precision Machining Direct AeroSystems specialize in highly-engineered precision machining of complex parts from various alloys such as aluminum, titanium, Inconel, and all other aerospace metals"
33,2,1," We offer four and five-axis milling equipment, including multiple state-of-the-art DMG Mori 5-axis milling machines where we can manufacture parts up to 236 inches"
33,2,2," Our CNC equipment allows for complex work path of angles, faces and radius in one operation, increasing the ability to hold tight tolerances"
33,2,3, In addition to 5-Axis milling machines Direct AeroSystems has invested in pallet changer systems to be cost effective for blue-streak manufacturing services
33,2,4, We manufacture components such as
33,2,5,  CNC Machines Model
33,2,6, Metal
33,2,7, Machine Details
33,2,8, Model
33,2,9, Metal
