topic_id,0,1,2,3,4,5,6
T00,manufacturing,toolcraft,toolcraft com,enquiries,com,com au,au
T01,quality,process,customers,rights,services,castings,terms
T02,people,companies,members,industry,products,presentation,coping
T03,company,job,products,design,openings,team,today
T04,products,quality,parts,die,com,customers,industry
T05,com,quality,services,castings,casting,process,parts
T06,information,magnets,services,alloys,customers,manufacturing,aerospace
T07,years,copper,bag,bag years,products,customers,quality
T08,sales,drone,experience,technology,parts,drones,team
T09,magnets,products,information,requirements,service,brass,line
T10,castings,sales,products,industry,quality,aluminum,customers
T11,casting,sales,bearing,alloys,production,die,solutions
T12,information,quality,products,customers,services,production,privacy
T13,quality,services,data,design,product,team,conditions
T14,injection,les,moulage,par,size,plastique,parts
T15,bearing,application,valves,bearing application,bearing bearing,application bearing,design
T16,francismfg,com,quality,glass,home,sales,windows
T17,site,information,com,cookies,use,products,castings
T18,anodes,com,quality,products,service,manufacturing,phone
T19,casting,investment,metal,artist,castings,process,rights
