term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,dfidf,mean_tfidf
technology,0.0003774718149195,-0.0449776360328542,0.0348900812520653,0.0347087222831576,-0.030292878502686,0.0038049570242705,0.0203036273161921,-0.0165125346346161,0.0558521410780549,-0.0019592496221397,136,0.0017739053308463,9.138855266208465,10,NN,2,"{'NNP', 'NN'}",0,23.96507132587905,0.0150399168364801
world,0.0295339405149055,0.0056592372284246,0.0390295123177504,0.0044437141472944,0.0181331380990465,0.0046185585712122,-0.0031661126650713,0.0170785165668497,0.0075575455381844,0.0156998441502752,149,0.0019434698110008,9.007149586996643,5,NN,2,"{'NNP', 'NN'}",0,23.96507132587905,0.0166174859255083
please,0.0251573888327913,-0.0022596910952983,0.0129209140681021,0.009710639548036,-0.0096483546308165,0.0635136572424065,-0.0045869622526543,-0.0061794941417052,-0.0512776315382485,-0.0079372182919699,129,0.001682601379994,9.21509085203555,6,NNP,2,"{'NN', 'NNP'}",0,23.96507132587905,0.0168576326249717
today,-0.0088699157155222,0.0040838283372828,0.0150723022456764,0.0097593234614432,0.006644418593578,-0.0042401636503823,-0.0027457860850261,-0.0212034850773052,-0.0108262610173008,0.0082676523382664,125,0.0016304276937926,9.260533822796717,5,NN,2,"{'NNP', 'NN'}",0,23.95966495856649,0.0164507349110923
sales,0.0419590629467435,-0.0289795605782202,0.0089208177536595,-0.0184324215825986,-0.0459360185227842,0.0260471175321527,-0.0515189591717973,0.0958739429926185,0.0350827366301824,-0.0533311190435951,262,0.0034173764461893,8.192895105921354,5,NNS,1,{'NNS'},0,23.946215641109287,0.022278644376755
components,-0.0194714178175233,-0.0453781858406263,0.0045801627352689,0.022130217023535,0.0330726612351759,-0.0086274001282439,0.0169888957005513,-0.0207928596619556,0.0086748709571363,-0.0710303576481771,218,0.0028434658979743,8.458133782681879,10,NNS,3,"{'NNS', 'NNPS', 'NNP'}",0,23.93446939857915,0.0239792386590772
use,0.0546100067727028,-0.0276700315080123,-0.086552665383442,0.0023256161733576,0.002610211756767,-0.0008424490689688,0.0210325748194487,-0.0186264890885963,-0.0128266744479982,0.0377372564182759,202,0.0026347711531688,8.56810662470701,3,NN,2,"{'NNP', 'NN'}",0,23.93446939857915,0.0162699761774979
materials,-0.0022313939726942,-0.0076364693088902,-0.0130201669912666,-0.0255428380437384,0.0235585802672395,-0.064565161573427,0.0165686297248092,-0.0035386112040162,-0.0604648666005936,0.0137394096392077,163,0.0021260777127055,8.877589953227726,9,NNS,2,"{'NNS', 'NNP'}",0,23.93446939857915,0.0170958825988067
email,0.0131498568558212,-0.0078107644843375,0.0010780593504118,0.0318243671375542,-0.0339155553738044,0.0725161766193584,-0.0282054027457319,-0.0533049430459822,-0.0179721167881096,0.004990942033578,205,0.0026739014178199,8.546838007953358,5,NNP,2,"{'NN', 'NNP'}",0,23.93446939857915,0.0200825438559648
delivery,-0.0226894793022152,0.0254636723705501,0.0076182818436301,0.0110054953747543,0.0063267540381178,-0.0071195267481455,0.0334348291233868,-0.0023163742996383,0.0066952859316365,-0.000549989236496,96,0.0012521684688327,9.641355606737648,8,NN,2,"{'NNP', 'NN'}",0,23.924571601885862,0.014016516946552
